id,name,purpose,mmname,position,party
15,All-Party Parliamentary Group for British Bioethanol,"To raise awareness of the industry, its economic impact, the supporting role it plays for British agriculture, and the environmental benefits of the bioethanol it produces. To promote the introduction of E10 fuel in the UK, help provide information and provide a greater understanding amongst parliamentarians and consumers.",Alan Brown,Vice Chair,Scottish National Party
16,All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from energy intensive industries, heating and power.",Alan Brown,Officer,Scottish National Party
17,All-Party Parliamentary Group for the Coalfield Communities,"To promote awareness among MPs of issues that continue to face former coalfield areas; to support the regeneration and economic development of coalfield communities; to raise the profile of the economic, social and environmental issues affecting such areas and to press government to implement effective and sustainable policy solutions.",Alan Brown,Vice Chair,Scottish National Party
18,All-Party Parliamentary Group on Energy Costs,To promote evidence-based discussion on all aspects of energy costs; to inform energy policy decisions and public debate; and to enable communications between interested parties and relevant Parliamentarians.,Alan Brown,Vice Chair,Scottish National Party
19,All-Party Parliamentary Group for Energy Intensive Industries,To provide a forum for MP's and Peers to discuss and learn about issues of concern to the UK's energy intensive industries.,Alan Brown,Officer,Scottish National Party
20,All-Party Parliamentary Group on Energy Storage,"To engage parliamentarians interested in energy storage technologies and their applications, bringing them together with businesses, NGOs, and experts in the field of energy storage to share information, promote awareness and debate future policy options.",Alan Brown,Vice-Chair,Scottish National Party
21,All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Alan Brown,Officer,Scottish National Party
22,All-Party Parliamentary Group on Infrastructure,"To highlight the importance of infrastructure, engineering and the use of underground space to the economy and society, and to hear from experts and discuss matters arising.",Alan Brown,Co-Chair,Scottish National Party
23,All-Party Parliamentary Group for Intelligent Energy,"To develop among parliamentarians and key opinion formers a deeper understanding of energy efficiency and sustainable energy technologies and processes through parliamentary activity, public information and broad political debate.",Alan Brown,Treasurer,Scottish National Party
24,All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK‰Ûªs automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Alan Brown,Officer,Scottish National Party
25,All-Party Parliamentary Rail Group,To facilitate an informed debate amongst parliamentarians regarding all aspects of the UK's railway industries.,Alan Brown,Vice Chair,Scottish National Party
26,All-Party Parliamentary Group for Renewable and Sustainable Energy,To promote sustainable energy issues in Parliament and across the wider political community.,Alan Brown,Vice Chair,Scottish National Party
27,All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Alan Brown,Vice-Chair,Scottish National Party
28,All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Alan Brown,Officer,Scottish National Party
29,All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Alan Brown,Vice Chair,Scottish National Party
30,All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Alan Mak,Vice Chair for Tech & Young People,Conservative
31,All-Party Parliamentary Group on Wholesale Financial Markets and Services,"The APPG is an informal cross-party interest and educational group. It was established to provide parliamentarians with a unique forum for briefings and constructive debate on issues relating to the wholesale financial sector with senior city practitioners, advisors, economists and academics.",Alan Mak,Vice Chair,Conservative
32,All-Party Parliamentary Group on Financial Technology,"To raise awareness in Parliament of the growing importance of Financial Technology (FinTech) to the UK economy, to policy making and to consumers. It aim to promote a regulatory framework that encourages a growing, inclusive and competitive FinTech Industry.",Alan Mak,Officer,Conservative
33,All-Party Parliamentary Group on the Fourth Industrial Revolution,"To support and promote the Fourth Industrial Revolution (4IR) in Parliament and encourage Government, Parliamentarians, academia, the private sector, and other stakeholders, to engage with 4IR-related issues.",Alan Mak,Chair & Registered Contact,Conservative
34,All-Party Parliamentary Group on Loneliness,To drive forward cross-party work among parliamentarians to influence legislation and policy making in order to reduce loneliness and build on the work of the Jo Cox Commission on Loneliness.,Alan Mak,Officer,Conservative
35,All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Alan Mak,Vice Chair,Conservative
36,All-Party Parliamentary Group on Cancer,"To keep cancer on the political agenda, monitor implementation of government initiatives, provide briefings to parliamentarians, and ensure policy-making is evidence-based and patient-centred.",Albert Owen,Vice-Chair,Labour
37,All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Albert Owen,Joint Vice Chair,Labour
38,All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom and aim to help support British industrial heritage sites in a time of austerity.,Albert Owen,Vice Chair,Labour
39,All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,Albert Owen,Vice-Chair,Labour
40,Wales Hospitality and Tourism All-Party Parliamentary Group,"To inform Wales Members of matters that influence the performers of the hospitality, accommodation and related industries in Wales and enable discussion on how the parliamentary process can assist and promote its economic delivery as a Welsh Government foundation economy player.",Albert Owen,Co-Chair,Labour
41,All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Albert Owen,Vice-Chair,Labour
42,All-Party Parliamentary Group for Greece,Furthering relations between the British Parliament and the Greek Parliament and all related activities to enhance the relationship between the UK and Greece.,Alberto Costa,Chair & Registered Contact,Conservative
43,All-Party Parliamentary Group on Italy,Furthering relations between the British Parliament and the Italian Parliament and all related activities to enhance the relationship between the UK and Italy.,Alberto Costa,Chair & Registered Contact,Conservative
44,All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of dispute resolution in the country by providing a valuable forum within Parliament to discuss the latest development in Alternative Dispute Resolution and to promote its wider use.,Alberto Costa,Secretary,Conservative
45,All-Party Parliamentary Group for the Prevention of Adverse Childhood Experiences,"To create practical action, both inside and outside Parliament, to identify and promote policies for the prevention of adverse childhood experiences.",Alex Burghart,Chair & Registered Contact,Conservative
46,All-Party Parliamentary Group for Assistive Technology,"To disseminate knowledge, generate debate and facilitate engagement on assistive technology amongst Members of both Houses of Parliament.",Alex Burghart,Officer,Conservative
47,All-Party Parliamentary Group for Boxing,To engage with government and Parliament to support all aspects of boxing. To set out the benefits of boxing to individuals and wider society; reduce the barriers to participation in boxing; celebrate the success of our nation‰Ûªs boxers; and highlight the potential for boxing to tackle urgent social needs in the UK.,Alex Burghart,Vice Chair,Conservative
48,All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Alex Burghart,Secretary,Conservative
49,All-Party Parliamentary Group for Looked After Children and Care Leavers,"To promote the voice of children and young people in care, in order to promote first class government policy for children in care and care leavers.",Alex Burghart,Officer,Conservative
50,All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of dispute resolution in the country by providing a valuable forum within Parliament to discuss the latest development in Alternative Dispute Resolution and to promote its wider use.,Alex Chalk,Vice Chair,Conservative
51,All-Party Parliamentary Group on Bees,"To inform parliamentarians about bees, other pollinators and beekeeping and to campaign and raise awareness of impacted issues.",Alex Chalk,Vice Chair,Conservative
52,All-Party Parliamentary Group on the Connaught Income Fund,"To inform Members, ministers and Parliament of the ongoing issues around the Connaught Income Fund.",Alex Chalk,Vice Chair,Conservative
53,All-Party Parliamentary Corporate Responsibility Group,To promote debate and understanding of corporate responsibility.,Alex Chalk,Vice Chair,Conservative
54,All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Alex Chalk,Officer,Conservative
55,All-Party Parliamentary Group on Lyme Disease,"To provide a way for parliamentarians, organisations, and those affected by Lyme Disease to discuss the current provision of diagnosis and treatment, the pressing need for research, the level of awareness, and to bring about significant and positive change.",Alex Chalk,Vice Chair,Conservative
56,All-Party Parliamentary Group on Publishing,"To promote the value of high quality publishing to UK society, culture and the economy.  To foster a better understanding among parliamentarians about publishers, booksellers and associated fields, all of whom contribute to a world-leading publishing sector.",Alex Chalk,Vice Chair,Conservative
57,All-Party Parliamentary Group on Town Centres,"To promote parliamentary and public understanding of the important role of town and city centres and their management as a key mechanism for co-ordinated action, fostering public and private sector dialogue and co-operation in order to build environments that are healthy, sustainable and socially inclusive.",Alex Chalk,Officer,Conservative
58,All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from energy intensive industries, heating and power.",Alex Cunningham,Chair & Registered Contact,Labour
59,All-Party Parliamentary Carbon Monoxide Group,"The APPG is the leading forum for Parliamentarians to discover, discuss and promote ways of tackling carbon monoxide poisoning in the UK.",Alex Cunningham,Officer,Labour
60,All-Party Parliamentary Group on Carers,"To encourage equality of opportunity for carers in the UK, liaising with carers' organisations, lobbying governments and promoting legislation on their behalf, to promote awareness in Parliament of carers' and former carers' needs; to liaise with members of the UK's devolved administrations; to link with international bodies, including carers' organisations.",Alex Cunningham,Officer,Labour
61,Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Alex Cunningham,Secretary,Labour
62,All-Party Parliamentary Group for Energy Intensive Industries,To provide a forum for MP's and Peers to discuss and learn about issues of concern to the UK's energy intensive industries.,Alex Cunningham,Chair & Registered Contact,Labour
63,All-Party Parliamentary Group on Smoking and Health,To monitor and discuss the health and social effects of smoking; to review potential changes to existing legislation to reduce levels of smoking; to assess the latest medical techniques to assist smoking cessation; to act as a resource for the group's members on issues relating to smoking and public health.,Alex Cunningham,Vice-Chair,Labour
64,All-Party Parliamentary Group on Social Work,To promote knowledge and understanding of social work.,Alex Cunningham,Chair & Registered Contact,Labour
65,All-Party Parliamentary Group for Attention Deficit Hyperactive Disorder,"To raise awareness of ADHD and its impact on those with the condition.  To help bring positive change to the lives of people living with ADHD. To share ideas, and act as a link between Parliament and organisations and charities involved with this issue.",Alex Norris,Officer,Labour (Co-op)
66,All-Party Parliamentary Group on Baseball,To support the sport of baseball at all levels.,Alex Norris,Chair & Registered Contact,Labour (Co-op)
67,All-Party Parliamentary Group on Darts,"To promote the sport of darts and support its continued development, as well as to inform and educate members of both Houses of Parliament and the wider public about the contribution of the sport to personal development, communities and charitable causes.",Alex Norris,Co-Secretary,Labour (Co-op)
68,All-Party Parliamentary Group on Deliberative Democracy,"To promote the understanding and spread of deliberative democracy, including the greater use of citizens assemblies, citizens conventions and citizens juries.",Alex Norris,Chair & Registered Contact,Labour (Co-op)
69,All-Party Parliamentary Group on Democracy and Human Rights in the Gulf,"To explore the human rights abuses committed by the member states of the Gulf Cooperation Council: UAE, Bahrain, Saudi Arabia, Oman Qatar, Kuwait and Yemen.  To raise awareness and encourage parliamentary scrutiny of these issues, ultimately keeping the British government accountable for its relationship with these regimes.",Alex Norris,Officer,Labour (Co-op)
70,All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Alex Norris,Officer,Labour (Co-op)
71,All-Party Parliamentary Group on the East Midlands,"To bring together MPs and Peers from across the East Midlands region, in coordination with leaders in local government, commerce and civil society, to identify priorities for development and maximise future investment in the region, to the benefit of all its communities.",Alex Norris,Chair & Registered Contact,Labour (Co-op)
72,"All-Party Parliamentary Group on Sport, Modern Slavery and Human Rights","To find solutions to pressing human rights problems affecting large-scale sporting events around the world, with a focus on three specific areas: the human rights impacts of the cycle of mega-sporting events, the impacts of the UK Modern Slavery Act on professional sport companies, and discrimination in sport in all its forms.",Alex Norris,Chair & Registered Contact,Labour (Co-op)
73,All-Party Parliamentary Group on West Papua,To promote understanding of the situation in West Papua and the human rights of the West Papuan people.,Alex Sobel,Chair & Registered Contact,Labour (Co-op)
74,All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,Alex Sobel,Vice Chair,Labour (Co-op)
75,All-Party Parliamentary Group for Attention Deficit Hyperactive Disorder,"To raise awareness of ADHD and its impact on those with the condition.  To help bring positive change to the lives of people living with ADHD. To share ideas, and act as a link between Parliament and organisations and charities involved with this issue.",Alex Sobel,Vice Chair,Labour (Co-op)
76,All-Party Parliamentary Group on Baseball,To support the sport of baseball at all levels.,Alex Sobel,Vice Chair,Labour (Co-op)
77,All-Party Parliamentary Group on Basketball,To promote the development of the sport of basketball at all levels in the UK.,Alex Sobel,Chair & Registered Contact,Labour (Co-op)
78,All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Alex Sobel,Officer,Labour (Co-op)
79,All-Party Parliamentary Group on Drones,"To examine the use of drones (unmanned aerial vehicles) by governments, for domestic and international, military and civilian purposes.",Alex Sobel,Vice Chair,Labour (Co-op)
80,All-Party Parliamentary Group on Esports,To support esports.,Alex Sobel,Vice Chair,Labour (Co-op)
81,All-Party Parliamentary Group on Hydrogen,"To provide a forum for parliamentarians to engage with leading businesses and organisations that, in the context of the Climate Change Act and the Paris Agreement, are working to enable the UK to meet its decarbonisation targets through implementation of large scale hydrogen projects, and discuss policy options to support these.",Alex Sobel,Vice Chair,Labour (Co-op)
82,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)","To further understanding of policy issues affecting the internet, communications and technology sector between parliamentarians, the industry, consumer groups and academia.",Alex Sobel,Officer,Labour (Co-op)
83,All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Alex Sobel,Vice Chair,Labour (Co-op)
84,"All-Party Parliamentary Group on Rare, Genetic and Undiagnosed Conditions","To increase awareness in Parliament of rare, genetic and undiagnosed conditions and help to ensure that patients and families affected by those conditions have access to appropriate care and support.",Alex Sobel,Officer,Labour (Co-op)
85,All-Party Parliamentary Group on Social Enterprise,"To showcase social enterprises, and discuss issues important to the social enterprise sector.",Alex Sobel,Chair & Registered Contact,Labour (Co-op)
86,All-Party Parliamentary Group on Video Games and Esports,"To work with the games and interactive entertainment industry, including with its trade body UK Interactive Entertainment, to promote the industry's economic, technological and cultural contributions within Parliament.",Alex Sobel,Chair & Registered Contact,Labour (Co-op)
87,Football All-Party Parliamentary  Group,To hold meetings for parliamentarians about football issues and raise matters of importance with the football authorities.,Alison McGovern,Vice Chair,Labour
88,The All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Alison McGovern,Vice Chair (Women's Team),Labour
89,All-Party Parliamentary Group for the Prevention of Genocide and Crimes Against Humanity,To raise awareness and build coalitions to prevent conflicts and genocides around the world.,Alison McGovern,Officer,Labour
90,All-Party Parliamentary Group on Inclusive Growth,"To create a parliamentary space for a high-level dialogue between MPs, peers, businesses, faith groups, trade unions and academics. The goal is to identify how to reconnect wealth creation and social justice.",Alison McGovern,Vice Chair,Labour
91,Liverpool City Region All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders, including the Liverpool City Region Metro Mayor and those in local government, the private sector and social enterprise, to help maximise future investment in the wider Liverpool City Region for the benefit of all its local communities.",Alison McGovern,Chair & Registered Contact,Labour
92,Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Alison McGovern,Chair & Registered Contact,Labour
93,All-Party Parliamentary Group on Yemen,To draw attention to issues impacting Yemen including the current civil war.,Alison Thewliss,Secretary,Scottish National Party
94,All-Party Parliamentary Group for the Ahmadiyya Muslim Community,To promote in Parliament the Ahmadiyya Muslim community and advance their interests in the UK and abroad.,Alison Thewliss,Vice Chair,Scottish National Party
95,All-Party Parliamentary Group on Basketball,To promote the development of the sport of basketball at all levels in the UK.,Alison Thewliss,Vice-Chair,Scottish National Party
96,All-Party Parliamentary Group on Broadband and Digital Communication,"To further the roll out of broadband in rural and urban areas, and to look at digital communication across the UK.",Alison Thewliss,Officer,Scottish National Party
97,All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Alison Thewliss,Officer,Scottish National Party
98,All-Party Parliamentary Group on Haemophilia and Contaminated Blood,"To promote awareness of, and campaign for, people with haemophilia and other bleeding disorders and people infected with blood-borne viruses due to contaminated blood and blood products used in their healthcare treatment.",Alison Thewliss,Vice-Chair,Scottish National Party
99,All-Party Parliamentary Group for Home Electrical Safety,To raise parliamentary awareness of issues relating to electrical safety in domestic dwellings and to promote the prevention of accidents with electricity; to provide a forum for parliamentarians to discuss issues pertinent to their constituents on electrical safety; and to hold inquiries into policy issues and provide reports.,Alison Thewliss,Officer,Scottish National Party
100,All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Alison Thewliss,Chair & Registered Contact,Scottish National Party
101,All-Party Parliamentary Group for International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Alison Thewliss,Vice Chair,Scottish National Party
102,All-Party Parliamentary Group for Jazz Appreciation,"To encourage wider and deeper enjoyment of jazz, to increase parliamentarians' understanding of the jazz industry and issues surrounding it, to promote jazz as a musical form and to raise its profile inside and outside Parliament.",Alison Thewliss,Vice Chair,Scottish National Party
103,All-Party Parliamentary Group on Loneliness,To drive forward cross-party work among parliamentarians to influence legislation and policy making in order to reduce loneliness and build on the work of the Jo Cox Commission on Loneliness.,Alison Thewliss,Vice Chair,Scottish National Party
104,All-Party Parliamentary Group on Maternity,"To improve the quality of maternity services, raise awareness of the contribution maternity care can make to public health, and improve support during the first 1000 days of parenthood.",Alison Thewliss,Officer,Scottish National Party
105,All-Party Parliamentary Group on Ovarian Cancer,To provide a forum for MPs and peers to discuss ovarian cancer related issues; to raise areas of concern with government or other policy makers; to raise the profile of ovarian cancer within Parliament and seek opportunities to help improve survival and quality of life for women.,Alison Thewliss,Vice Chair,Scottish National Party
106,All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Alison Thewliss,Co-Chair,Scottish National Party
107,All-Party Parliamentary Group on Sex Equality,To campaign for the advancement of sex equality in the UK.,Alison Thewliss,Officer,Scottish National Party
108,All-Party Parliamentary Group on Sexual Violence,To raise awareness of sexual violence against women and girls.,Alison Thewliss,Officer,Scottish National Party
109,All-Party Parliamentary Group on UK Sikhs,"To support and promote the interests of Sikhs in the UK, to work with British Sikhs to celebrate Sikh culture in the UK, and to ensure full equality for all British Sikhs.",Alison Thewliss,Vice Chair,Scottish National Party
110,All-Party Parliamentary Group on Smart Cities,To engage parliamentarians who share an interest in how the digital revolution can benefit our cities and how the UK can take the lead in seizing a substantial share of the international 'smart cities' market.,Alison Thewliss,Vice Chair,Scottish National Party
111,All-Party Parliamentary Group on Stem Cell Transplantation,To inform parliamentarians about the use of stem cell transplantation in saving lives; to facilitate debate and scrutiny on the collection and use of adult stem cells and umbilical cord blood in the UK; and to promote the expansion of stem cell donation in the UK.,Alison Thewliss,Officer,Scottish National Party
112,All-Party Parliamentary Group on Students,"To provide a forum for all parliamentarians to develop greater understanding of the range of issues affecting students in further and higher education. To ensure that student views and experiences are heard in Parliament, facilitate interaction between students and MPs and Peers, and ensure education policy is student-focused and student-led.",Alison Thewliss,Vice-Chair,Scottish National Party
113,All-Party Parliamentary Group for Terminal Illness,"To raise awareness in Parliament of terminal illness and promote links between Parliament, individuals and families affected, charities, scientists, health professionals and decision makers.",Alison Thewliss,Vice Chair,Scottish National Party
114,All-Party Parliamentary Group on Ticket Abuse,"To promote and provide a forum for the discussion of issues relating to the sale and resale of tickets, for events, with a particular focus on devising solutions to the problem of ticket touting.",Alison Thewliss,Vice Chair,Scottish National Party
115,All-Party Parliamentary Group on Universal Credit,To monitor Universal Credit as it is rolled out; to share best practice in supporting constituents; and to make recommendations to government to improve policy.,Alison Thewliss,Vice Chair,Scottish National Party
116,All-Party Parliamentary University Group,To be the main avenue of communication between parliamentarians and vice-chancellors of the UK's universities; and to provide an opportunity to examine issues affecting the country's university sector and university research which is influencing public policy and higher level skills.,Alison Thewliss,Vice Chair,Scottish National Party
117,All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Alison Thewliss,Officer,Scottish National Party
118,All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Alison Thewliss,Vice Chair,Scottish National Party
119,All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Alison Thewliss,Chair & Registered Contact,Scottish National Party
120,All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Andrea Jenkyns,Vice Chair for Education,Conservative
121,All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Andrea Jenkyns,Officer,Conservative
122,British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Andrea Jenkyns,Vice Chair,Conservative
123,British Parliamentary Awards All-Party Parliamentary Group,"To recognise the most influential organisations in UK global relations by bringing together and promoting Britain's highest achieving men and women on a local, national and international level as part of a new Global Britain campaign.",Andrea Jenkyns,Secretary,Conservative
124,All-Party Parliamentary Dog Advisory Welfare Group,"To explore, highlight, discuss and challenge dog-related activities, legislation, and trends with the overall aim of improving the health and welfare of the UK's dogs and dog owners, and society in general.",Andrea Jenkyns,Vice Chair,Conservative
125,All-Party Parliamentary Group on Key Cities,"To offer a forum for parliamentarians to discuss matters of mutual interest across the UK's key cities. The Key Cities organisation is a cross-party initiative whose members are committed to ensuring that all UK cities are placed on a sustainable footing to deliver continued, inclusive economic growth.",Andrea Jenkyns,Vice Chair,Conservative
126,All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Andrea Jenkyns,Treasurer,Conservative
127,"One Britain, One Nation All-Party Parliamentary Group","To bring people together - regardless of race, religion or background - to celebrate what unites us in being British.",Andrea Jenkyns,Chair & Registered Contact,Conservative
128,All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Andrea Jenkyns,Vice Chair,Conservative
129,All-Party Parliamentary Group on Textiles and Fashion,"To promote the significance of the UK textile and fashion industry across the world, supporting its development as an integral part of our economy.",Andrea Jenkyns,Vice Chair,Conservative
130,All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Andrew Bowie,Chair & Registered Contact,Conservative
131,All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Andrew Bowie,Secretary,Conservative
132,All-Party Parliamentary Group on Luxembourg,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Luxembourg and foster positive relations post-Brexit.",Andrew Bowie,Secretary,Conservative
133,All-Party Parliamentary Group for the Boys' Brigade,To support and promote the work of the Boys' Brigade.,Andrew Bowie,Chair & Registered Contact,Conservative
134,All-Party Parliamentary Group on Democracy in the World,"To support UK initiatives to help establish effective and inclusive multi-party democracy around the world - investigating the role of parliament, political parties, elections, media, and civil societies in developing countries, based on the experience of Westminster Foundation for Democracy.",Andrew Bowie,Chair & Registered Contact,Conservative
135,All-Party Parliamentary Group on Democratic Participation,To serve as a platform to inspire democratic participation and innovation.,Andrew Bowie,Chair & Registered Contact,Conservative
